1 18 67 1,64 1
2 17 68 1,75 2
3 21 75 1,68 6
4 20 60 1,62 6
5 22 62 1,64 7
6 20 67 1,63 1
7 18 82 1,78 2
8 26 90 1,78 2
9 22 85 1,78 5
10 18 78 1,8 3
11 17 79 1,87 1
12 19 56 1,67 4
13 19 65 1,72 4
14 21 62 1,75 5
15 20 72 1,61 7
16 22 70 1,68 6
17 23 68 1,78 5
18 19 79 1,78 4
19 20 85 1,78 4
20 17 71 1,74 1
21 19 58 1,61 1
22 23 64 1,68 7
23 19 75 1,65 2
24 20 78 1,88 2
25 21 60 1,68 2
26 27 78 1,84 3
27 24 73 1,68 8
28 19 59 1,58 1
29 19 67 1,7 2
30 19 66 1,6 4
31 20 87 1,75 3
32 23 88 1,78 7
33 18 93 1,83 2
34 17 65 1,64 2
35 19 64 1,63 1
36 22 73 1,78 8
37 19 85 1,75 1
38 20 60 1,67 4
39 21 62 1,72 3
40 31 66 1,75 4
41 18 68 1,78 2
42 19 72 1,74 1
43 17 72 1,72 2
44 19 56 1,62 4
45 20 62 1,68 3
46 17 72 1,72 2
47 27 60 1,67 5
48 19 72 1,84 2
49 20 82 1,88 3
50 19 60 1,68 2
51 20 61 1,68 2
52 19 72 1,74 1
53 20 62 1,68 3
54 20 62 1,64 7
55 20 67 1,63 1
56 21 78 1,72 5
57 19 65 1,68 3
58 18 81 1,78 2
59 24 74 1,68 7
60 23 75 1,76 8
